"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_007"	"7"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10h_18oC_2"	"2"	""	""	"10h"	""	""	"18"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Nat_12oC_2"	"2"	""	""	"Natural"	""	""	"12"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Nat_18oC_3"	"3"	""	""	"Natural"	""	""	"18"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10+3h_24oC_4"	"4"	""	""	"10h + 3h light interuption"	""	""	"24"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Ambient_2"	"2"	""	""	"Ambient"	""	""	"Ambient"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_008"	"8"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10h_12oC_1"	"1"	""	""	"10h"	""	""	"12"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Nat_24oC_3"	"3"	""	""	"Natural"	""	""	"24"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10+3h_12oC_3"	"3"	""	""	"10h + 3h light interuption"	""	""	"12"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10+3h_24oC_2"	"2"	""	""	"10h + 3h light interuption"	""	""	"24"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"10h_24oC_1"	"1"	""	""	"10h"	""	""	"24"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
