"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tracer]"	"Term Source REF"	"Term Accession Number"
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_03"	"[1,2-13C2]-glucose"	""	""
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_04"	"[1,2-13C2]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_02"	"[U-13C6]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_05"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_04"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_05"	"[U-13C6]-glucose"	""	""
"Pellet-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B3_03"	"[U-13C6]-glucose"	""	""
"Pellet-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B3_05"	"[U-13C6]-glucose"	""	""
"Pellet-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_03"	"[1,2-13C2]-glucose"	""	""
"Pellet-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_04"	"[1,2-13C2]-glucose"	""	""
"Pellet-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_03"	"[1,2-13C2]-glucose"	""	""
"Pellet-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_04"	"[1,2-13C2]-glucose"	""	""
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_03"	"[1,2-13C2]-glucose"	""	""
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_04"	"[1,2-13C2]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_02"	"[U-13C6]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_05"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_04"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_05"	"[U-13C6]-glucose"	""	""
"Pellet-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B3_03"	"[U-13C6]-glucose"	""	""
"Pellet-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B3_05"	"[U-13C6]-glucose"	""	""
"Pellet-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_01"	"[1,2-13C2]-glucose"	""	""
"Pellet-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_02"	"[1,2-13C2]-glucose"	""	""
"Pellet-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_01"	"[1,2-13C2]-glucose"	""	""
"Pellet-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_02"	"[1,2-13C2]-glucose"	""	""
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_01"	"[1,2-13C2]-glucose"	""	""
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_02"	"[1,2-13C2]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_03"	"[U-13C6]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_04"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_01"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_02"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_03"	"[U-13C6]-glucose"	""	""
"Pellet-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B3_01"	"[U-13C6]-glucose"	""	""
"Pellet-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_01"	"[1,2-13C2]-glucose"	""	""
"Pellet-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_02"	"[1,2-13C2]-glucose"	""	""
"Pellet-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_01"	"[1,2-13C2]-glucose"	""	""
"Pellet-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_02"	"[1,2-13C2]-glucose"	""	""
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_01"	"[1,2-13C2]-glucose"	""	""
"Pellet-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_02"	"[1,2-13C2]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_03"	"[U-13C6]-glucose"	""	""
"Pellet-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B1_04"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_01"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_02"	"[U-13C6]-glucose"	""	""
"Pellet-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B2_03"	"[U-13C6]-glucose"	""	""
"Pellet-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B3_01"	"[U-13C6]-glucose"	""	""
"Pellet-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"B3_02"	"[U-13C6]-glucose"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_04"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_04"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Pellet-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"A_01"	"[U-12C]-glucose (unlabeled glucose)"	""	""
"Aqueous solution"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Artificial glucose mixture "	""	""	"Sample collection"	"03_glc mix_40_05"	"N/A"	""	""
"Aqueous solution"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Artificial glucose mixture "	""	""	"Sample collection"	"05_glc mix_40_05"	"N/A"	""	""
"Reference"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Commercial glucose"	""	""	"Sample collection"	"07_cold glc_20_25"	"N/A"	""	""
"Aqueous solution"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Artificial glucose mixture "	""	""	"Sample collection"	"08_glc mix_40_05"	"N/A"	""	""
"Reference"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Commercial glucose"	""	""	"Sample collection"	"09_cold glc_20_25"	"N/A"	""	""
"Reference"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Commercial glucose"	""	""	"Sample collection"	"10_cold glc_20_25"	"N/A"	""	""
"Aqueous solution"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Artificial glucose mixture "	""	""	"Sample collection"	"11_glc mix_40_15"	"N/A"	""	""
"Aqueous solution"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Artificial glucose mixture "	""	""	"Sample collection"	"06_glc mix_20_25"	"N/A"	""	""
"Aqueous solution"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Artificial glucose mixture "	""	""	"Sample collection"	"08_glc mix_20_25"	"N/A"	""	""
"Reference"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Commercial glucose"	""	""	"Sample collection"	"09_cold glc_10_25"	"N/A"	""	""
"Aqueous solution"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Artificial glucose mixture "	""	""	"Sample collection"	"10_glc mix_20_25"	"N/A"	""	""
"Reference"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Commercial glucose"	""	""	"Sample collection"	"11_cold glc_10_25"	"N/A"	""	""
"Reference"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Commercial glucose"	""	""	"Sample collection"	"12_cold glc_10_25"	"N/A"	""	""
